mean_0.28171,1630573198417,87600,1200,0,-5.17,-107.16,105.82,-3.08,51.14,5.02
mean_0.28171,1630573199417,87601,1200,1,10.98,-104.91,104.96,-4.31,50.82,7.49
mean_0.28171,1630573200417,87602,1200,2,63.92,-97.73,105.55,-8.37,48.68,15.71
mean_0.28171,1630573201417,87603,1200,3,96.01,-92.98,106.06,-10.77,47.19,20.58
mean_0.28171,1630573202417,87604,1200,4,101.5,-91.54,104.99,-10.84,47.06,20.88
mean_0.28171,1630573203417,87605,1200,5,103.88,-85.51,99.22,-10.41,46.49,19.93
mean_0.28171,1630573204417,87606,1200,6,102.76,-79.0,92.63,-9.54,47.01,18.18
mean_0.28171,1630573205417,87607,1200,7,101.67,-72.79,84.48,-8.68,48.55,16.64
mean_0.28171,1630573206417,87608,1200,8,101.14,-69.5,84.39,-8.64,45.77,16.71
mean_0.28171,1630573207417,87609,1200,9,101.71,-69.69,84.99,-8.78,44.71,16.93
mean_0.28171,1630573208417,87610,1200,10,101.43,-69.97,82.8,-8.42,48.28,16.17
mean_0.28171,1630573209417,87611,1200,11,102.54,-75.5,87.72,-9.08,47.72,17.34
mean_0.28171,1630573210417,87612,1200,12,103.61,-82.22,96.38,-10.08,46.72,19.27
mean_0.28171,1630573211417,87613,1200,13,97.8,-92.86,105.98,-10.91,47.25,20.8
mean_0.28171,1630573212417,87614,1200,14,62.89,-97.28,105.7,-8.28,48.61,15.62
mean_0.28171,1630573213417,87615,1200,15,10.6,-105.21,105.04,-4.3,50.78,7.48
mean_0.28171,1630573214417,87616,1200,16,-5.19,-107.73,105.21,-3.1,51.25,4.99
mean_0.28171,1630573215417,87617,1200,17,-5.07,-107.08,105.11,-3.06,51.01,5.13
mean_0.28171,1630573216417,87618,1200,18,-0.9,-103.1,105.51,-2.29,39.13,9.44
mean_0.28171,1630573217417,87619,1200,19,15.49,-87.6,109.09,0.81,-7.67,26.37
mean_0.28171,1630573218417,87620,1200,20,31.59,-72.61,111.71,3.84,-53.79,42.69
mean_0.28171,1630573219417,87621,1200,21,33.78,-71.01,112.64,4.22,-59.1,44.96
mean_0.28171,1630573220417,87622,1200,22,34.31,-68.11,113.3,0.36,-67.43,35.86
mean_0.28171,1630573221417,87623,1200,23,34.92,-62.76,115.28,-9.59,-80.39,15.3
mean_0.28171,1630573222417,87624,1200,24,34.42,-59.49,114.8,-18.22,-84.68,-0.11
mean_0.28171,1630573223417,87625,1200,25,29.59,-59.58,113.54,-30.04,-82.12,-10.64
mean_0.28171,1630573224417,87626,1200,26,25.43,-60.17,112.07,-41.19,-78.6,-20.38
mean_0.28171,1630573225417,87627,1200,27,30.78,-52.29,115.09,-12.35,-91.6,15.77
mean_0.28171,1630573226417,87628,1200,28,37.56,-51.17,115.95,8.77,-88.51,42.68
mean_0.28171,1630573227417,87629,1200,29,37.39,-49.56,116.15,0.18,-94.3,24.99
mean_0.28171,1630573228417,87630,1200,30,36.62,-46.64,115.29,-12.9,-97.12,1.05
mean_0.28171,1630573229417,87631,1200,31,34.16,-43.99,114.6,-26.97,-94.38,-22.69
mean_0.28171,1630573230417,87632,1200,32,30.37,-43.1,113.22,-39.64,-86.98,-44.42
mean_0.28171,1630573231417,87633,1200,33,27.72,-43.29,112.8,-45.18,-81.95,-53.31
mean_0.28171,1630573232417,87634,1200,34,26.32,-39.83,111.25,-37.75,-91.04,-28.04
mean_0.28171,1630573233417,87635,1200,35,30.63,-32.77,109.97,-12.6,-99.01,20.32
mean_0.28171,1630573234417,87636,1200,36,33.07,-34.77,112.01,-6.71,-95.47,26.96
mean_0.28171,1630573235417,87637,1200,37,37.41,-43.22,116.1,-6.16,-82.35,3.77
mean_0.28171,1630573236417,87638,1200,38,37.8,-43.86,117.09,-6.01,-81.31,1.99
mean_0.28171,1630573237417,87639,1200,39,26.27,-42.1,110.72,-28.52,-79.7,14.29
mean_0.28171,1630573238417,87640,1200,40,12.01,-24.75,72.89,-66.15,-83.76,51.01
mean_0.28171,1630573239417,87641,1200,41,11.3,-20.56,64.86,-69.59,-85.5,57.14
mean_0.28171,1630573240417,87642,1200,42,12.09,-20.44,64.9,-68.75,-84.72,56.62
mean_0.28171,1630573241417,87643,1200,43,13.23,-20.16,65.12,-67.73,-84.28,56.09
mean_0.28171,1630573242417,87644,1200,44,14.52,-20.99,66.95,-66.42,-83.59,53.87
mean_0.28171,1630573243417,87645,1200,45,27.43,-40.59,104.72,-33.36,-75.45,17.54
mean_0.28171,1630573244417,87646,1200,46,35.28,-43.51,111.27,-16.17,-74.92,5.76
mean_0.28171,1630573245417,87647,1200,47,35.67,-44.55,111.94,-16.04,-75.26,5.65
mean_0.28171,1630573246417,87648,1200,48,35.67,-49.4,119.77,-15.68,-77.27,4.85
mean_0.28171,1630573247417,87649,1200,49,35.96,-55.2,127.18,-15.11,-79.3,4.15
mean_0.28171,1630573248417,87650,1200,50,36.58,-60.86,135.06,-14.53,-80.99,3.68
mean_0.28171,1630573249417,87651,1200,51,37.23,-67.41,142.1,-13.92,-80.69,3.37
mean_0.28171,1630573250417,87652,1200,52,32.43,-73.67,138.88,-12.45,-65.61,3.55
mean_0.28171,1630573251417,87653,1200,53,13.03,-91.09,122.06,-7.62,-5.21,4.29
mean_0.28171,1630573252417,87654,1200,54,-4.03,-106.52,106.22,-3.39,47.54,4.98
mean_0.28171,1630573253417,87655,1200,55,-5.14,-107.04,105.95,-3.1,51.3,5.03
mean_0.28171,1630573254417,87656,1200,56,0.04,-106.38,105.1,-3.52,51.21,5.8
mean_0.28171,1630573255417,87657,1200,57,47.0,-100.05,105.63,-7.05,49.11,13.11
mean_0.28171,1630573256417,87658,1200,58,92.55,-93.23,105.23,-10.48,47.66,20.07
mean_0.28171,1630573257417,87659,1200,59,100.07,-92.57,105.44,-11.02,47.12,21.13
mean_0.28171,1630573258417,87660,1200,60,104.11,-88.09,101.47,-10.52,46.82,20.13
mean_0.28171,1630573259417,87661,1200,61,103.53,-81.0,94.61,-9.83,47.03,18.86
mean_0.28171,1630573260417,87662,1200,62,102.36,-74.85,86.73,-8.92,47.96,17.0
mean_0.28171,1630573261417,87663,1200,63,101.9,-69.88,82.41,-8.41,48.57,16.1
mean_0.28171,1630573262417,87664,1200,64,101.45,-68.42,83.13,-8.62,46.78,16.46
mean_0.28171,1630573263417,87665,1200,65,101.68,-69.33,82.2,-8.45,47.95,16.19
mean_0.28171,1630573264417,87666,1200,66,101.76,-73.23,85.18,-8.66,48.53,16.6
mean_0.28171,1630573265417,87667,1200,67,103.27,-79.92,93.2,-9.61,47.07,18.41
mean_0.28171,1630573266417,87668,1200,68,103.29,-90.48,103.91,-11.02,46.8,21.05
mean_0.28171,1630573267417,87669,1200,69,83.78,-94.78,105.92,-9.89,47.7,18.61
mean_0.28171,1630573268417,87670,1200,70,31.46,-101.7,105.68,-5.87,49.73,10.7
mean_0.28171,1630573269417,87671,1200,71,-3.89,-107.76,105.14,-3.18,51.02,5.23
mean_0.28171,1630573270417,87672,1200,72,-5.2,-107.06,105.1,-3.1,51.23,5.02
mean_0.28171,1630573271417,87673,1201,0,-5.19,-106.9,105.64,-3.07,51.1,5.0
mean_0.28171,1630573272417,87674,1201,1,11.03,-105.39,105.47,-4.34,50.73,7.54
mean_0.28171,1630573273417,87675,1201,2,64.62,-97.43,105.52,-8.4,48.53,15.64
mean_0.28171,1630573274417,87676,1201,3,96.74,-92.96,105.49,-10.79,47.38,20.6
mean_0.28171,1630573275417,87677,1201,4,101.43,-91.17,104.7,-10.85,46.83,20.91
mean_0.28171,1630573276417,87678,1201,5,104.19,-85.7,100.07,-10.45,46.69,19.87
mean_0.28171,1630573277417,87679,1201,6,103.52,-79.52,92.6,-9.6,47.07,18.39
mean_0.28171,1630573278417,87680,1201,7,102.03,-72.61,83.96,-8.66,48.34,16.66
mean_0.28171,1630573279417,87681,1201,8,101.32,-69.65,84.15,-8.61,45.79,16.6
mean_0.28171,1630573280417,87682,1201,9,101.02,-69.52,84.74,-8.78,44.75,16.81
mean_0.28171,1630573281417,87683,1201,10,101.73,-70.21,82.26,-8.39,48.3,16.18
mean_0.28171,1630573282417,87684,1201,11,102.04,-75.3,88.22,-9.02,47.84,17.36
mean_0.28171,1630573283417,87685,1201,12,103.44,-82.68,96.3,-10.06,47.06,19.22
mean_0.28171,1630573284417,87686,1201,13,97.12,-92.74,105.2,-10.86,46.96,20.93
mean_0.28171,1630573285417,87687,1201,14,62.96,-97.91,105.7,-8.35,48.46,15.58
mean_0.28171,1630573286417,87688,1201,15,10.72,-105.29,105.23,-4.31,50.55,7.46
mean_0.28171,1630573287417,87689,1201,16,-5.17,-107.39,105.33,-3.1,51.25,5.03
mean_0.28171,1630573288417,87690,1201,17,-5.07,-107.19,105.53,-3.07,50.86,5.16
mean_0.28171,1630573289417,87691,1201,18,-0.9,-103.6,105.93,-2.29,39.12,9.44
mean_0.28171,1630573290417,87692,1201,19,15.6,-87.45,109.16,0.81,-7.72,26.33
mean_0.28171,1630573291417,87693,1201,20,31.73,-72.68,111.92,3.84,-53.1,42.64
mean_0.28171,1630573292417,87694,1201,21,33.82,-70.84,112.24,4.24,-59.22,45.16
mean_0.28171,1630573293417,87695,1201,22,34.41,-67.8,114.09,0.36,-67.42,35.97
mean_0.28171,1630573294417,87696,1201,23,34.99,-62.38,114.25,-9.57,-80.19,15.31
mean_0.28171,1630573295417,87697,1201,24,34.31,-59.41,114.95,-18.22,-84.82,-0.11
mean_0.28171,1630573296417,87698,1201,25,29.73,-59.72,114.02,-30.11,-82.61,-10.65
mean_0.28171,1630573297417,87699,1201,26,25.36,-60.23,112.41,-41.11,-78.5,-20.26
mean_0.28171,1630573298417,87700,1201,27,30.68,-51.84,114.69,-12.3,-91.13,15.73
mean_0.28171,1630573299417,87701,1201,28,37.42,-51.24,116.64,8.78,-88.24,42.94
mean_0.28171,1630573300417,87702,1201,29,37.7,-49.41,115.32,0.18,-93.74,24.82
mean_0.28171,1630573301417,87703,1201,30,36.64,-46.51,115.43,-12.9,-96.88,1.05
mean_0.28171,1630573302417,87704,1201,31,34.12,-44.26,114.19,-27.05,-94.43,-22.48
mean_0.28171,1630573303417,87705,1201,32,30.25,-43.0,113.3,-39.62,-86.61,-44.47
mean_0.28171,1630573304417,87706,1201,33,27.65,-43.36,112.41,-45.19,-81.91,-53.18
mean_0.28171,1630573305417,87707,1201,34,26.29,-39.92,111.59,-37.34,-91.49,-27.93
mean_0.28171,1630573306417,87708,1201,35,30.61,-32.9,110.5,-12.61,-98.7,20.41
mean_0.28171,1630573307417,87709,1201,36,33.22,-34.63,112.46,-6.72,-95.96,26.9
mean_0.28171,1630573308417,87710,1201,37,37.05,-43.48,116.01,-6.16,-82.27,3.78
mean_0.28171,1630573309417,87711,1201,38,37.73,-43.96,116.12,-6.02,-81.36,1.99
mean_0.28171,1630573310417,87712,1201,39,26.3,-42.12,110.27,-28.47,-79.74,14.34
mean_0.28171,1630573311417,87713,1201,40,12.03,-24.72,73.01,-66.3,-83.73,50.76
mean_0.28171,1630573312417,87714,1201,41,11.28,-20.76,64.9,-69.39,-85.11,56.88
mean_0.28171,1630573313417,87715,1201,42,12.04,-20.46,64.87,-68.66,-84.75,56.51
mean_0.28171,1630573314417,87716,1201,43,13.29,-20.11,65.09,-68.0,-84.23,55.63
mean_0.28171,1630573315417,87717,1201,44,14.47,-20.98,67.05,-66.15,-83.58,53.77
mean_0.28171,1630573316417,87718,1201,45,27.24,-40.74,105.11,-33.32,-75.16,17.39
mean_0.28171,1630573317417,87719,1201,46,35.47,-43.71,111.15,-16.23,-74.77,5.76
mean_0.28171,1630573318417,87720,1201,47,35.27,-44.62,112.22,-16.07,-75.18,5.65
mean_0.28171,1630573319417,87721,1201,48,35.69,-49.39,119.98,-15.66,-77.2,4.82
mean_0.28171,1630573320417,87722,1201,49,36.05,-55.3,127.84,-15.17,-79.45,4.18
mean_0.28171,1630573321417,87723,1201,50,36.56,-61.0,134.81,-14.6,-80.52,3.69
mean_0.28171,1630573322417,87724,1201,51,37.03,-67.58,140.86,-13.83,-80.99,3.37
mean_0.28171,1630573323417,87725,1201,52,32.54,-74.01,138.94,-12.47,-65.56,3.55
mean_0.28171,1630573324417,87726,1201,53,13.07,-91.2,121.8,-7.58,-5.2,4.31
mean_0.28171,1630573325417,87727,1201,54,-4.03,-105.87,106.06,-3.38,47.49,4.99
mean_0.28171,1630573326417,87728,1201,55,-5.17,-107.24,105.25,-3.1,51.37,5.01
mean_0.28171,1630573327417,87729,1201,56,0.04,-106.23,104.97,-3.5,51.02,5.84
mean_0.28171,1630573328417,87730,1201,57,47.05,-99.73,104.92,-7.04,49.41,12.98
mean_0.28171,1630573329417,87731,1201,58,92.93,-93.51,105.36,-10.51,47.63,19.9
mean_0.28171,1630573330417,87732,1201,59,100.43,-92.45,105.29,-11.05,47.24,20.93
mean_0.28171,1630573331417,87733,1201,60,103.75,-88.15,101.27,-10.58,46.82,20.24
mean_0.28171,1630573332417,87734,1201,61,103.78,-81.17,95.0,-9.85,46.9,18.77
mean_0.28171,1630573333417,87735,1201,62,102.34,-74.69,87.08,-8.87,48.26,17.06
mean_0.28171,1630573334417,87736,1201,63,101.48,-70.01,81.65,-8.37,48.23,15.99
mean_0.28171,1630573335417,87737,1201,64,101.95,-68.32,83.36,-8.65,46.84,16.54
mean_0.28171,1630573336417,87738,1201,65,101.66,-69.43,81.9,-8.44,47.81,16.22
mean_0.28171,1630573337417,87739,1201,66,101.9,-73.25,85.0,-8.67,48.27,16.62
